season,team,player_name,batting_matches,bowling_matches,total_matches,runs_scored,balls_faced,fours,sixes,strike_rate,wickets_taken,balls_bowled,overs_bowled,runs_conceded,economy_rate,playing_role
Season 1,Chitwan Rhinos,Deepak Bohara,4,1,4,19,25,0,0,76.00,1,8,1.3,9,6.75,Bowler
Season 1,Chitwan Rhinos,JN Loftie-Eaton,3,3,3,17,23,0,0,73.91,3,49,8.2,57,6.98,Bowler
Season 1,Chitwan Rhinos,Sohail Tanvir,6,8,8,11,13,0,0,84.62,15,192,32.0,180,5.63,Bowler
Season 1,Chitwan Rhinos,Basil Hameed,2,2,2,3,6,0,0,50.00,1,36,6.0,54,9.00,Bowler
Season 1,Chitwan Rhinos,R Kumar,0,5,5,0,0,0,0,0,2,86,14.3,121,8.44,Bowler
Season 1,Janakpur Bolts,BKEL Milantha,10,0,10,293,242,0,0,121.07,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,JDS Neesham,9,9,9,247,127,0,0,194.49,9,164,27.3,234,8.56,All-rounder
Season 1,Janakpur Bolts,Aasif Sheikh,10,0,10,162,157,0,0,103.18,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,H Thaker,9,9,9,138,156,0,0,88.46,12,188,31.3,198,6.32,All-rounder
Season 1,Janakpur Bolts,AK Sah,7,0,7,132,117,0,0,112.82,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,S Kansakar,6,0,6,71,80,0,0,88.75,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,Mohammad Mohsin,6,9,9,42,41,0,0,102.44,12,208,34.7,208,6.00,Bowler
Season 1,Janakpur Bolts,S Malla,5,7,7,24,27,0,0,88.89,7,119,19.8,132,6.66,Bowler
Season 1,Janakpur Bolts,A Tripathi,3,0,3,19,31,0,0,61.29,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,Mayan Yadav,2,0,2,16,21,0,0,76.19,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,J Tromp,1,0,1,13,14,0,0,92.86,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,A Yadav,2,3,3,12,24,0,0,50.00,3,54,9.0,69,7.67,Bowler
Season 1,Janakpur Bolts,H Dhami,1,0,1,9,11,0,0,81.82,0,0,0.0,0,0,Batter
Season 1,Janakpur Bolts,K Mahato,3,10,10,6,21,0,0,28.57,15,217,36.2,275,7.60,Bowler
Season 1,Janakpur Bolts,LN Rajbanshi,3,10,10,4,14,0,0,28.57,17,244,40.7,222,5.46,Bowler
Season 1,Janakpur Bolts,BWM Mike,0,1,1,0,0,0,0,0,1,22,3.7,31,8.45,Bowler
Season 1,Janakpur Bolts,TB Thapa,0,2,2,0,0,0,0,0,0,12,2.0,19,9.50,Batter
Season 1,Karnali Yaks,WG Bosisto,6,7,7,194,166,0,0,116.87,11,147,24.5,164,6.69,All-rounder
Season 1,Karnali Yaks,CAK Walton,9,0,9,183,157,0,0,116.56,0,0,0.0,0,0,Batter
Season 1,Karnali Yaks,S Dhawan,4,0,4,136,118,0,0,115.25,0,0,0.0,0,0,Batter
Season 1,Karnali Yaks,Gulsan Jha,8,4,8,132,120,0,0,110.00,1,49,8.2,63,7.71,Batter
Season 1,Karnali Yaks,D Khanal,9,1,9,116,146,0,0,79.45,0,13,2.2,22,10.15,Batter
Season 1,Karnali Yaks,Zeeshan Maqsood,8,9,9,85,94,0,0,90.43,10,203,33.8,180,5.32,All-rounder
Season 1,Karnali Yaks,A Gharti,7,0,7,79,75,0,0,105.33,0,0,0.0,0,0,Batter
Season 1,Karnali Yaks,Babar Hayat,5,0,5,65,86,0,0,75.58,0,0,0.0,0,0,Batter
Season 1,Karnali Yaks,JA Kolsawala,2,0,2,54,43,0,0,125.58,0,0,0.0,0,0,Batter
Season 1,Karnali Yaks,Sompal Kami,5,9,9,52,37,0,0,140.54,11,189,31.5,243,7.71,All-rounder
Season 1,Karnali Yaks,UBS Thakuri,2,5,5,12,18,0,0,66.67,2,54,9.0,64,7.11,Bowler
Season 1,Karnali Yaks,NK Yadav,4,8,8,4,16,0,0,25.00,13,148,24.7,183,7.42,Bowler
Season 1,Karnali Yaks,BP Sharma,0,8,8,0,0,0,0,0,13,177,29.5,172,5.83,Bowler
Season 1,Karnali Yaks,SM Dhakal,0,1,1,0,0,0,0,0,1,13,2.2,25,11.54,Bowler
Season 1,Karnali Yaks,B Karki,0,2,2,0,0,0,0,0,0,30,5.0,39,7.80,Batter
Season 1,Kathmandu Gorkhas,SS Eskinazi,7,0,7,133,116,0,0,114.66,0,0,0.0,0,0,Batter
Season 1,Kathmandu Gorkhas,MG Erasmus,7,7,7,110,83,0,0,132.53,11,162,27.0,141,5.22,All-rounder
Season 1,Kathmandu Gorkhas,M Levitt,7,2,7,102,75,0,0,136.00,1,37,6.2,45,7.30,Batter
Season 1,Kathmandu Gorkhas,S Maharjan,5,0,5,87,98,0,0,88.78,0,0,0.0,0,0,Batter
Season 1,Kathmandu Gorkhas,B Sharki,7,3,7,78,99,0,0,78.79,0,31,5.2,31,6.00,Batter
Season 1,Kathmandu Gorkhas,P Shrestha,4,0,4,73,66,0,0,110.61,0,0,0.0,0,0,Batter
Season 1,Kathmandu Gorkhas,Karan KC,7,7,7,51,40,0,0,127.50,14,150,25.0,162,6.48,All-rounder
Season 1,Kathmandu Gorkhas,DA Douthwaite,4,3,4,42,54,0,0,77.78,2,44,7.3,51,6.95,Bowler
Season 1,Kathmandu Gorkhas,Shankar Rana,4,0,4,41,55,0,0,74.55,0,0,0.0,0,0,Batter
Season 1,Kathmandu Gorkhas,Rashid Khan,6,6,6,29,53,0,0,54.72,7,108,18.0,144,8.00,Bowler
Season 1,Kathmandu Gorkhas,Shahab Alam,5,7,7,20,28,0,0,71.43,6,139,23.2,126,5.44,Bowler
Season 1,Kathmandu Gorkhas,D Kandel,3,5,5,12,9,0,0,133.33,7,96,16.0,87,5.44,Bowler
Season 1,Kathmandu Gorkhas,NA Sowter,1,3,3,1,1,0,0,100.00,1,56,9.3,87,9.32,Bowler
Season 1,Lumbini Lions,RK Paudel,7,6,7,279,218,0,0,127.98,8,114,19.0,111,5.84,All-rounder
Season 1,Lumbini Lions,TJ Moores,7,0,7,165,134,0,0,123.13,0,0,0.0,0,0,Batter
Season 1,Lumbini Lions,S Jora,7,2,7,120,118,0,0,101.69,1,18,3.0,22,7.33,Batter
Season 1,Lumbini Lions,B Yadav,5,6,6,100,75,0,0,133.33,3,103,17.2,172,10.02,Batter
Season 1,Lumbini Lions,Saad Bin Zafar,6,7,7,83,63,0,0,131.75,10,154,25.7,174,6.78,All-rounder
Season 1,Lumbini Lions,A Saud,6,0,6,68,73,0,0,93.15,0,0,0.0,0,0,Batter
Season 1,Lumbini Lions,A Ghiraiya,6,0,6,44,71,0,0,61.97,0,0,0.0,0,0,Batter
Season 1,Lumbini Lions,Surya Tamang,2,4,4,18,20,0,0,90.00,1,91,15.2,115,7.58,Bowler
Season 1,Lumbini Lions,UBT Chand,4,0,4,18,29,0,0,62.07,0,0,0.0,0,0,Batter
Season 1,Lumbini Lions,D Adhikari,1,2,2,14,16,0,0,87.50,0,12,2.0,31,15.50,Batter
Season 1,Lumbini Lions,BCJ Cutting,3,0,3,10,21,0,0,47.62,0,0,0.0,0,0,Batter
Season 1,Lumbini Lions,RR Simmonds,4,7,7,6,13,0,0,46.15,9,152,25.3,197,7.78,Bowler
Season 1,Lumbini Lions,D Gupta,2,4,4,5,4,0,0,125.00,3,66,11.0,110,10.00,Bowler
Season 1,Lumbini Lions,TR Bhandari,1,1,1,3,5,0,0,60.00,2,24,4.0,24,6.00,Bowler
Season 1,Lumbini Lions,Abhishesh Gautam,0,4,4,0,0,0,0,0,7,97,16.2,87,5.38,Bowler
Season 1,Lumbini Lions,B Aagri,0,1,1,0,0,0,0,0,3,12,2.0,14,7.00,Bowler
Season 1,Pokhara Avengers,AGS Gous,6,0,6,225,138,0,0,163.04,0,0,0.0,0,0,Batter
Season 1,Pokhara Avengers,RA Reifer,6,7,7,163,146,0,0,111.64,8,140,23.3,177,7.59,All-rounder
Season 1,Pokhara Avengers,D Kharel,7,2,7,162,148,0,0,109.46,1,7,1.2,15,12.86,Batter
Season 1,Pokhara Avengers,K Bhurtel,6,6,6,54,67,0,0,80.60,5,86,14.3,114,7.95,All-rounder
Season 1,Pokhara Avengers,MJJ Critchley,3,4,4,52,57,0,0,91.23,1,55,9.2,97,10.58,Batter
Season 1,Pokhara Avengers,D Nath,5,0,5,46,52,0,0,88.46,0,0,0.0,0,0,Batter
Season 1,Pokhara Avengers,MA Leask,6,7,7,44,36,0,0,122.22,3,133,22.2,158,7.13,Bowler
Season 1,Pokhara Avengers,N Joshi,5,2,5,38,36,0,0,105.56,0,15,2.5,31,12.40,Batter
Season 1,Pokhara Avengers,K Thagunna,2,0,2,33,31,0,0,106.45,0,0,0.0,0,0,Batter
Season 1,Pokhara Avengers,Bipin Khatri,5,7,7,24,28,0,0,85.71,9,110,18.3,135,7.36,Bowler
Season 1,Pokhara Avengers,Z Malik,2,0,2,14,25,0,0,56.00,0,0,0.0,0,0,Batter
Season 1,Pokhara Avengers,Aakarshit Gomel,1,1,1,8,15,0,0,53.33,0,6,1.0,13,13.00,Batter
Season 1,Pokhara Avengers,S Dhakal,4,7,7,2,5,0,0,40.00,5,150,25.0,166,6.64,Bowler
Season 1,Pokhara Avengers,Aakash Chand,1,3,3,1,3,0,0,33.33,1,46,7.7,74,9.65,Bowler
Season 1,Pokhara Avengers,BFW de Leede,0,1,1,0,0,0,0,0,2,25,4.2,20,4.80,Bowler
Season 1,Pokhara Avengers,S Aryal,0,1,1,0,0,0,0,0,1,13,2.2,19,8.77,Bowler
Season 1,Sudurpaschim Royals,SA Zaib,9,9,9,275,212,0,0,129.72,13,146,24.3,152,6.25,All-rounder
Season 1,Sudurpaschim Royals,B Bhandari,9,0,9,235,223,0,0,105.38,0,0,0.0,0,0,Batter
Season 1,Sudurpaschim Royals,DS Airee,9,7,9,227,148,0,0,153.38,11,152,25.3,176,6.95,All-rounder
Season 1,Sudurpaschim Royals,BJ McMullen,9,8,9,201,162,0,0,124.07,7,117,19.5,130,6.67,All-rounder
Season 1,Sudurpaschim Royals,I Pandey,7,5,7,128,120,0,0,106.67,4,46,7.7,52,6.78,Batter
Season 1,Sudurpaschim Royals,Aarif Sheikh,8,0,8,69,71,0,0,97.18,0,0,0.0,0,0,Batter
Season 1,Sudurpaschim Royals,SC Kuggeleijn,7,9,9,66,45,0,0,146.67,19,191,31.8,210,6.60,All-rounder
Season 1,Sudurpaschim Royals,Harmeet Singh,3,5,5,28,21,0,0,133.33,9,126,21.0,94,4.48,Bowler
Season 1,Sudurpaschim Royals,NB Budayair,4,0,4,28,23,0,0,121.74,0,0,0.0,0,0,Batter
Season 1,Sudurpaschim Royals,N Saud,3,7,7,14,13,0,0,107.69,7,88,14.7,98,6.68,Bowler
Season 1,Sudurpaschim Royals,DS Bajwa,1,0,1,12,16,0,0,75.00,0,0,0.0,0,0,Batter
Season 1,Sudurpaschim Royals,Rohan Mustafa,1,1,1,4,7,0,0,57.14,0,6,1.0,8,8.00,Batter
Season 1,Sudurpaschim Royals,B Khatri,1,1,1,4,4,0,0,100.00,0,6,1.0,12,12.00,Batter
Season 1,Sudurpaschim Royals,A Bohara,1,8,8,2,3,0,0,66.67,8,143,23.8,184,7.72,Bowler
Season 1,Sudurpaschim Royals,A Shrestha,1,0,1,1,5,0,0,20.00,0,0,0.0,0,0,Batter
Season 2,Biratnagar Kings,Basir Ahamad,9,7,9,191,166,0,0,115.06,4,119,19.8,150,7.56,Batter
Season 2,Biratnagar Kings,Lokesh Bam,9,0,9,170,163,0,0,104.29,0,0,0.0,0,0,Batter
Season 2,Biratnagar Kings,SD Heazlett,6,4,6,150,102,0,0,147.06,1,49,8.2,69,8.45,Batter
Season 2,Biratnagar Kings,MJ Guptill,6,0,6,125,83,0,0,150.60,0,0,0.0,0,0,Batter
Season 2,Biratnagar Kings,F du Plessis,4,0,4,101,62,0,0,162.90,0,0,0.0,0,0,Batter
Season 2,Biratnagar Kings,Shubham Ranjane,4,4,4,87,67,0,0,129.85,5,62,10.3,105,10.16,All-rounder
Season 2,Biratnagar Kings,M de Lange,6,9,9,83,65,0,0,127.69,11,210,35.0,283,8.09,All-rounder
Season 2,Biratnagar Kings,Pratis GC,8,9,9,67,41,0,0,163.41,11,160,26.7,222,8.33,All-rounder
Season 2,Biratnagar Kings,HG Munsey,6,1,6,60,40,0,0,150.00,0,6,1.0,9,9.00,Batter
Season 2,Biratnagar Kings,N Bhatta,4,6,6,49,62,0,0,79.03,0,97,16.2,119,7.36,Batter
Season 2,Biratnagar Kings,N Joshi,6,4,6,48,48,0,0,100.00,0,31,5.2,51,9.87,Batter
Season 2,Biratnagar Kings,S Lamichhane,7,9,9,31,21,0,0,147.62,17,220,36.7,179,4.88,Bowler
Season 2,Biratnagar Kings,S Patel,2,0,2,22,28,0,0,78.57,0,0,0.0,0,0,Batter
Season 2,Biratnagar Kings,Shankar Rana,1,1,1,7,14,0,0,50.00,0,8,1.3,7,5.25,Batter
Season 2,Biratnagar Kings,Subash Bhandari,0,2,2,0,0,0,0,0,5,48,8.0,44,5.50,Bowler
Season 2,Biratnagar Kings,Surya Tamang,0,6,6,0,0,0,0,0,5,81,13.5,104,7.70,Bowler
Season 2,Chitwan Rhinos,RS Bopara,7,3,7,237,184,0,0,128.80,2,48,8.0,69,8.63,Batter
Season 2,Chitwan Rhinos,Kushal Malla,7,5,7,135,114,0,0,118.42,1,97,16.2,141,8.72,Batter
Season 2,Chitwan Rhinos,D Khanal,6,1,6,127,123,0,0,103.25,0,6,1.0,6,6.00,Batter
Season 2,Chitwan Rhinos,DJ Malan,7,0,7,121,100,0,0,121.00,0,0,0.0,0,0,Batter
Season 2,Chitwan Rhinos,SA Zaib,7,7,7,116,90,0,0,128.89,5,138,23.0,156,6.78,Batter
Season 2,Chitwan Rhinos,A Saud,6,0,6,87,70,0,0,124.29,0,0,0.0,0,0,Batter
Season 2,Chitwan Rhinos,Deepak Bohara,4,0,4,57,59,0,0,96.61,0,0,0.0,0,0,Batter
Season 2,Chitwan Rhinos,AR Ramjani,1,1,1,33,22,0,0,150.00,0,24,4.0,21,5.25,Batter
Season 2,Chitwan Rhinos,Sohail Tanvir,2,5,5,23,21,0,0,109.52,9,115,19.2,136,7.10,Bowler
Season 2,Chitwan Rhinos,KS Airee,3,6,6,17,16,0,0,106.25,6,101,16.8,170,10.10,Bowler
Season 2,Chitwan Rhinos,AS Routela,3,1,3,13,11,0,0,118.18,1,12,2.0,19,9.50,Bowler
Season 2,Chitwan Rhinos,R Dhakal,2,5,5,3,3,0,0,100.00,4,101,16.8,127,7.54,Bowler
Season 2,Chitwan Rhinos,R Kumar,2,5,5,1,2,0,0,50.00,8,120,20.0,118,5.90,Bowler
Season 2,Chitwan Rhinos,GLS Scrimshaw,0,1,1,0,0,0,0,0,2,26,4.3,40,9.23,Bowler
Season 2,Chitwan Rhinos,Gautam KC,0,1,1,0,0,0,0,0,0,12,2.0,28,14.00,Batter
Season 2,Chitwan Rhinos,Saugat Dhakal,0,1,1,0,0,0,0,0,0,6,1.0,14,14.00,Batter
Season 2,Janakpur Bolts,SP Krishnamurthi,7,7,7,167,136,0,0,122.79,6,122,20.3,135,6.64,All-rounder
Season 2,Janakpur Bolts,Maaz Sadaqat,5,5,5,113,75,0,0,150.67,5,122,20.3,134,6.59,Batter
Season 2,Janakpur Bolts,JN Loftie-Eaton,7,3,7,108,97,0,0,111.34,2,36,6.0,50,8.33,Batter
Season 2,Janakpur Bolts,Aasif Sheikh,7,0,7,105,95,0,0,110.53,0,0,0.0,0,0,Batter
Season 2,Janakpur Bolts,Mayan Yadav,6,3,6,84,94,0,0,89.36,2,18,3.0,19,6.33,Batter
Season 2,Janakpur Bolts,AK Sah,6,6,6,73,75,0,0,97.33,4,116,19.3,137,7.09,All-rounder
Season 2,Janakpur Bolts,MMMS Cooray,3,3,3,70,72,0,0,97.22,7,73,12.2,64,5.26,All-rounder
Season 2,Janakpur Bolts,WD Parnell,2,1,2,64,52,0,0,123.08,1,19,3.2,28,8.84,Batter
Season 2,Janakpur Bolts,A Mahata,4,5,5,35,26,0,0,134.62,4,50,8.3,73,8.76,Bowler
Season 2,Janakpur Bolts,BKEL Milantha,2,0,2,30,34,0,0,88.24,0,0,0.0,0,0,Batter
Season 2,Janakpur Bolts,SMLD Samarakoon,1,1,1,22,21,0,0,104.76,0,6,1.0,6,6.00,Batter
Season 2,Janakpur Bolts,Rupesh Singh,4,4,4,20,26,0,0,76.92,5,55,9.2,93,10.15,Bowler
Season 2,Janakpur Bolts,LN Rajbanshi,2,5,5,15,15,0,0,100.00,4,116,19.3,136,7.03,Bowler
Season 2,Janakpur Bolts,S Kansakar,3,0,3,15,18,0,0,83.33,0,0,0.0,0,0,Batter
Season 2,Janakpur Bolts,K Mahato,2,4,4,3,6,0,0,50.00,1,50,8.3,72,8.64,Bowler
Season 2,Janakpur Bolts,B Aagri,0,1,1,0,0,0,0,0,0,6,1.0,5,5.00,Batter
Season 2,Janakpur Bolts,Sachin Bhatt,0,2,2,0,0,0,0,0,0,26,4.3,43,9.92,Batter
Season 2,Janakpur Bolts,TB Thapa,0,1,1,0,0,0,0,0,0,12,2.0,15,7.50,Batter
Season 2,Karnali Yaks,MRJ Watt,7,7,7,246,162,0,0,151.85,6,133,22.2,146,6.59,All-rounder
Season 2,Karnali Yaks,Priyank Panchal,7,0,7,197,141,0,0,139.72,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,Gulsan Jha,5,4,5,110,75,0,0,146.67,3,63,10.5,92,8.76,Batter
Season 2,Karnali Yaks,P Sarraf,5,4,5,109,87,0,0,125.29,3,61,10.2,74,7.28,Batter
Season 2,Karnali Yaks,WG Bosisto,5,5,5,96,90,0,0,106.67,4,80,13.3,84,6.30,Batter
Season 2,Karnali Yaks,Najibullah Zadran,6,0,6,66,58,0,0,113.79,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,Sompal Kami,4,7,7,51,47,0,0,108.51,9,152,25.3,222,8.76,All-rounder
Season 2,Karnali Yaks,Imran Sheikh,1,0,1,33,32,0,0,103.13,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,MP O'Dowd,1,0,1,20,30,0,0,66.67,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,A Gharti,2,0,2,17,27,0,0,62.96,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,D Rawat,2,2,2,12,10,0,0,120.00,0,30,5.0,44,8.80,Batter
Season 2,Karnali Yaks,Deepak Dumre,1,0,1,10,13,0,0,76.92,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,JA Kolsawala,1,0,1,6,10,0,0,60.00,0,0,0.0,0,0,Batter
Season 2,Karnali Yaks,NK Yadav,3,7,7,5,11,0,0,45.45,11,159,26.5,225,8.49,Bowler
Season 2,Karnali Yaks,UB Singh,1,2,2,1,2,0,0,50.00,2,24,4.0,40,10.00,Bowler
Season 2,Karnali Yaks,BP Sharma,0,4,4,0,0,0,0,0,3,79,13.2,89,6.76,Bowler
Season 2,Karnali Yaks,Y Khatri,0,4,4,0,0,0,0,0,3,66,11.0,95,8.64,Bowler
Season 2,Kathmandu Gorkhas,BG Charlesworth,8,0,8,201,167,0,0,120.36,0,0,0.0,0,0,Batter
Season 2,Kathmandu Gorkhas,JA Simpson,8,0,8,172,104,0,0,165.38,0,0,0.0,0,0,Batter
Season 2,Kathmandu Gorkhas,A Tripathi,8,0,8,118,141,0,0,83.69,0,0,0.0,0,0,Batter
Season 2,Kathmandu Gorkhas,Milind Kumar,7,7,7,115,140,0,0,82.14,10,164,27.3,162,5.93,All-rounder
Season 2,Kathmandu Gorkhas,Mohammad Aadil Alam,7,1,7,93,63,0,0,147.62,0,6,1.0,11,11.00,Batter
Season 2,Kathmandu Gorkhas,B Sharki,5,1,5,90,62,0,0,145.16,0,6,1.0,9,9.00,Batter
Season 2,Kathmandu Gorkhas,Santosh Yadav,5,8,8,76,66,0,0,115.15,8,106,17.7,114,6.45,All-rounder
Season 2,Kathmandu Gorkhas,MG Erasmus,5,5,5,71,71,0,0,100.00,4,85,14.2,100,7.06,All-rounder
Season 2,Kathmandu Gorkhas,Karan KC,5,8,8,49,32,0,0,153.13,14,181,30.2,222,7.36,Bowler
Season 2,Kathmandu Gorkhas,Rashid Khan,6,8,8,35,47,0,0,74.47,10,134,22.3,181,8.10,Bowler
Season 2,Kathmandu Gorkhas,Sunny Patel,3,3,3,19,15,0,0,126.67,5,74,12.3,68,5.51,Bowler
Season 2,Kathmandu Gorkhas,Shahab Alam,4,8,8,7,15,0,0,46.67,13,169,28.2,175,6.21,Bowler
Season 2,Kathmandu Gorkhas,D Kandel,1,1,1,6,5,0,0,120.00,0,6,1.0,7,7.00,Batter
Season 2,Kathmandu Gorkhas,R Vasconcelos,1,0,1,3,4,0,0,75.00,0,0,0.0,0,0,Batter
Season 2,Kathmandu Gorkhas,P Shrestha,1,0,1,2,8,0,0,25.00,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,RK Paudel,10,5,10,276,283,0,0,97.53,10,79,13.2,100,7.59,All-rounder
Season 2,Lumbini Lions,DJM Short,10,6,10,256,217,0,0,117.97,0,82,13.7,122,8.93,Batter
Season 2,Lumbini Lions,N Dickwella,6,0,6,137,117,0,0,117.09,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,D Nath,10,0,10,122,124,0,0,98.39,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,S Jora,10,0,10,115,109,0,0,105.50,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,Gulbadin Naib,5,5,5,90,60,0,0,150.00,5,97,16.2,128,7.92,All-rounder
Season 2,Lumbini Lions,R Trumpelmann,7,10,10,65,43,0,0,151.16,17,212,35.3,234,6.62,All-rounder
Season 2,Lumbini Lions,JJ Smit,6,6,6,56,49,0,0,114.29,4,72,12.0,98,8.17,All-rounder
Season 2,Lumbini Lions,D Adhikari,3,0,3,47,24,0,0,195.83,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,S Malla,5,10,10,46,30,0,0,153.33,17,217,36.2,236,6.53,Bowler
Season 2,Lumbini Lions,S Maharjan,6,0,6,32,41,0,0,78.05,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,Abhishesh Gautam,3,10,10,12,12,0,0,100.00,7,194,32.3,217,6.71,Bowler
Season 2,Lumbini Lions,TR Bhandari,1,8,8,6,8,0,0,75.00,8,166,27.7,149,5.39,Bowler
Season 2,Lumbini Lions,TJ Draca,1,1,1,6,4,0,0,150.00,0,20,3.3,27,8.10,Batter
Season 2,Lumbini Lions,Sameer Ali,1,0,1,1,2,0,0,50.00,0,0,0.0,0,0,Batter
Season 2,Lumbini Lions,M Subasingha,0,1,1,0,0,0,0,0,0,12,2.0,10,5.00,Batter
Season 2,Pokhara Avengers,AM Rossington,7,0,7,323,223,0,0,144.84,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,K Bhurtel,7,7,7,156,113,0,0,138.05,5,143,23.8,178,7.47,Batter
Season 2,Pokhara Avengers,JDS Neesham,4,4,4,99,62,0,0,159.68,5,65,10.8,108,9.97,All-rounder
Season 2,Pokhara Avengers,DA Douthwaite,3,3,3,73,43,0,0,169.77,3,68,11.3,79,6.97,Batter
Season 2,Pokhara Avengers,JJ Roy,3,0,3,68,57,0,0,119.30,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,D Kharel,4,0,4,58,65,0,0,89.23,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,SL Verma,3,2,3,56,43,0,0,130.23,2,42,7.0,53,7.57,Batter
Season 2,Pokhara Avengers,R Dhawan,1,3,3,54,33,0,0,163.64,4,61,10.2,82,8.07,All-rounder
Season 2,Pokhara Avengers,D Lakshan,2,3,3,53,38,0,0,139.47,10,73,12.2,69,5.67,All-rounder
Season 2,Pokhara Avengers,Arjun Kumal,1,0,1,43,53,0,0,81.13,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,TR Das,4,0,4,39,47,0,0,82.98,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,K Thagunna,5,3,5,24,31,0,0,77.42,3,51,8.5,61,7.18,Bowler
Season 2,Pokhara Avengers,Abhisekh Tiwari,2,0,2,14,23,0,0,60.87,0,0,0.0,0,0,Batter
Season 2,Pokhara Avengers,Bipin Khatri,2,6,6,7,9,0,0,77.78,8,111,18.5,115,6.22,Bowler
