player_name,role,s1_runs,s2_runs,s3_runs_pred,s3_runs_range,runs_trend,runs_delta,s1_strike_rate,s2_strike_rate,s3_strike_rate_pred,s3_sr_range,sr_trend,recommendation,priority,max_bid,reason
B Sharki,Batter,78.0,90.0,86.4,73.44-99.36,STABLE,12.0,78.79,145.16,165.07,115.55-214.59,IMPROVING,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Yadav,Batter,100.0,,,,INSUFFICIENT_DATA,,133.33,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
BCJ Cutting,Batter,10.0,,,,INSUFFICIENT_DATA,,47.62,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Karki,Batter,0.0,,,,INSUFFICIENT_DATA,,0.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
BG Charlesworth,Batter,,201.0,,,INSUFFICIENT_DATA,,,120.36,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Babar Hayat,Batter,65.0,,,,INSUFFICIENT_DATA,,75.58,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
CA Lynn,Batter,,143.0,,,INSUFFICIENT_DATA,,,115.32,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Basir Ahamad,Batter,,191.0,,,INSUFFICIENT_DATA,,,115.06,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
D Kandel,Batter,,6.0,,,INSUFFICIENT_DATA,,,120.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
CAK Walton,Batter,183.0,,,,INSUFFICIENT_DATA,,116.56,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
D Khanal,Batter,116.0,127.0,123.7,105.14-142.25,STABLE,11.0,79.45,103.25,96.11,81.69-110.53,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
B Rawal,Batter,54.0,,,,INSUFFICIENT_DATA,,79.41,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
H Dhami,Batter,9.0,,,,INSUFFICIENT_DATA,,81.82,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Gulsan Jha,Batter,132.0,110.0,116.6,99.11-134.09,STABLE,-22.0,110.0,146.67,135.67,115.32-156.02,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
D Parashar,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
D Rawat,Batter,,12.0,,,INSUFFICIENT_DATA,,,120.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
DJ Malan,Batter,,121.0,,,INSUFFICIENT_DATA,,,121.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
DA Douthwaite,Batter,,73.0,,,INSUFFICIENT_DATA,,,169.77,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
DJM Short,Batter,,256.0,,,INSUFFICIENT_DATA,,,117.97,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
DS Bajwa,Batter,12.0,,,,INSUFFICIENT_DATA,,75.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
HG Munsey,Batter,,60.0,,,INSUFFICIENT_DATA,,,150.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
F du Plessis,Batter,,101.0,,,INSUFFICIENT_DATA,,,162.9,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Deepak Dumre,Batter,,10.0,,,INSUFFICIENT_DATA,,,76.92,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
J Tromp,Batter,13.0,,,,INSUFFICIENT_DATA,,92.86,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
I Pandey,Batter,128.0,160.0,150.4,127.84-172.96,STABLE,32.0,106.67,99.38,101.57,86.33-116.8,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Hassan Eisakhil,Batter,125.0,,,,INSUFFICIENT_DATA,,125.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
AM Rossington,Batter,,323.0,,,INSUFFICIENT_DATA,,,144.84,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
A Saud,Batter,68.0,87.0,81.3,69.11-93.49,STABLE,19.0,93.15,124.29,114.95,97.71-132.19,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
UBT Chand,Batter,18.0,,,,INSUFFICIENT_DATA,,62.07,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Priyank Panchal,Batter,,197.0,,,INSUFFICIENT_DATA,,,139.72,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
R Vasconcelos,Batter,,3.0,,,INSUFFICIENT_DATA,,,75.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
RP Magar,Batter,78.0,,,,INSUFFICIENT_DATA,,101.3,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Rohan Mustafa,Batter,4.0,,,,INSUFFICIENT_DATA,,57.14,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
JA Simpson,Batter,,172.0,,,INSUFFICIENT_DATA,,,165.38,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Imran Sheikh,Batter,,33.0,,,INSUFFICIENT_DATA,,,103.13,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
J Brown,Batter,,101.0,,,INSUFFICIENT_DATA,,,138.36,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Kushal Malla,Batter,,135.0,,,INSUFFICIENT_DATA,,,118.42,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
JN Loftie-Eaton,Batter,,108.0,,,INSUFFICIENT_DATA,,,111.34,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
K Bhurtel,Batter,,156.0,,,INSUFFICIENT_DATA,,,138.05,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
K Thagunna,Batter,33.0,,,,INSUFFICIENT_DATA,,106.45,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Lokesh Bam,Batter,131.0,170.0,158.3,134.55-182.04,STABLE,39.0,124.76,104.29,110.43,93.87-127.0,STABLE,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
LM Benkenstein,Batter,85.0,,,,INSUFFICIENT_DATA,,110.39,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
JJ Roy,Batter,,68.0,,,INSUFFICIENT_DATA,,,119.3,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
JK Mukhiya,Batter,0.0,,,,INSUFFICIENT_DATA,,0.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
Mohammad Aadil Alam,Batter,,93.0,,,INSUFFICIENT_DATA,,,147.62,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
M Levitt,Batter,102.0,,,,INSUFFICIENT_DATA,,136.0,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
MJJ Critchley,Batter,52.0,,,,INSUFFICIENT_DATA,,91.23,,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
M Subasingha,Batter,,0.0,,,INSUFFICIENT_DATA,,,0.0,,,INSUFFICIENT_DATA,🟡 RETAIN/SIGN,5,₨10-15 lakh,Runs stable - reliable performer
