bowler_name,phase,s1_balls,s1_economy_raw,s1_economy_shrunk,s2_balls,s2_economy_raw,s2_economy_shrunk,s3_economy_proj,specialist_flag
NA Sowter,Middle,44,8.18,7.4,0,,6.82,6.65,AVERAGE
NA Sowter,Powerplay,6,11.0,7.05,0,,6.65,6.53,AVERAGE
NK Yadav,Death,65,8.77,8.75,78,11.23,10.14,10.56,AVERAGE
NK Yadav,Middle,31,6.0,6.54,32,7.31,6.99,7.12,AVERAGE
NK Yadav,Powerplay,52,6.58,6.62,49,4.9,5.86,5.63,AVERAGE
NR Kirton,Death,9,12.67,9.24,0,,8.73,8.58,AVERAGE
NR Kirton,Middle,12,5.0,6.52,0,,6.82,6.91,AVERAGE
Nar Sarki,Middle,12,9.5,7.27,0,,6.82,6.68,AVERAGE
P Mehra,Death,0,,8.73,7,5.14,8.35,8.24,AVERAGE
P Mehra,Middle,0,,6.82,13,7.85,7.0,7.05,AVERAGE
P Sarraf,Middle,0,,6.82,36,7.67,7.14,7.24,AVERAGE
P Sarraf,Powerplay,0,,6.65,25,6.72,6.67,6.68,AVERAGE
Pratis GC,Death,26,8.77,8.74,65,8.58,8.65,8.62,AVERAGE
Pratis GC,Middle,24,3.75,5.94,20,6.3,6.69,6.92,AVERAGE
Pratis GC,Powerplay,71,7.1,6.89,75,8.64,7.76,8.02,AVERAGE
R Dhakal,Death,75,10.16,9.52,31,7.94,8.46,8.14,AVERAGE
R Dhakal,Middle,0,,6.82,26,7.15,6.92,6.95,AVERAGE
R Dhakal,Powerplay,104,6.87,6.79,44,7.5,7.01,7.08,AVERAGE
R Dhawan,Death,0,,8.73,30,9.6,9.02,9.11,AVERAGE
R Dhawan,Middle,0,,6.82,6,7.0,6.84,6.85,AVERAGE
R Dhawan,Powerplay,0,,6.65,25,6.48,6.6,6.58,AVERAGE
R Kumar,Death,19,12.63,9.67,18,5.67,8.02,7.52,AVERAGE
R Kumar,Middle,55,7.75,7.26,72,5.5,6.1,5.75,AVERAGE
R Kumar,Powerplay,12,5.0,6.38,30,7.0,6.77,6.89,AVERAGE
R Trumpelmann,Death,0,,8.73,75,9.84,9.35,9.54,AVERAGE
R Trumpelmann,Middle,0,,6.82,19,6.0,6.62,6.56,AVERAGE
R Trumpelmann,Powerplay,0,,6.65,118,4.68,5.34,4.95,SPECIALIST
RA Reifer,Death,51,8.47,8.61,0,,8.73,8.77,AVERAGE
RA Reifer,Middle,25,5.76,6.51,0,,6.82,6.91,AVERAGE
RA Reifer,Powerplay,64,7.59,7.14,0,,6.65,6.5,AVERAGE
RK Paudel,Death,12,5.0,8.11,12,10.5,9.03,9.31,AVERAGE
RK Paudel,Middle,84,6.07,6.38,67,7.07,6.95,7.12,AVERAGE
RK Paudel,Powerplay,18,5.33,6.35,0,,6.65,6.74,AVERAGE
RP Magar,Middle,14,9.43,7.31,0,,6.82,6.67,AVERAGE
RR Simmonds,Death,66,10.09,9.44,0,,8.73,8.52,AVERAGE
RR Simmonds,Middle,12,5.5,6.6,0,,6.82,6.89,AVERAGE
RR Simmonds,Powerplay,74,6.08,6.34,0,,6.65,6.74,AVERAGE
RS Bopara,Death,13,6.46,8.33,12,10.5,9.03,9.24,AVERAGE
RS Bopara,Middle,44,6.14,6.53,36,8.0,7.26,7.48,AVERAGE
Rashid Khan,Death,53,9.17,8.94,46,8.87,8.79,8.74,AVERAGE
Rashid Khan,Middle,24,6.25,6.66,64,5.81,6.3,6.19,AVERAGE
Rashid Khan,Powerplay,31,7.35,6.89,24,12.75,8.39,8.84,LIABILITY
Rohan Mustafa,Middle,6,8.0,6.93,0,,6.82,6.79,AVERAGE
